Datum;Standort;Temperatur_C;Temperatur_min_C;Temperatur_max_C;Niederschlag_mm
2026-06-05;Hauptplatz;16,6;10,9;22,2;0,4
2026-06-06;Hauptplatz;17,0;13,5;20,5;18,8
2026-06-07;Hauptplatz;21,2;16,9;25,5;0,0
2026-06-08;Hauptplatz;19,9;15,2;24,5;1,6
2026-06-09;Hauptplatz;16,4;12,2;20,7;2,9
2026-06-10;Hauptplatz;16,6;11,3;21,9;4,3
2026-06-11;Hauptplatz;21,6;14,8;28,5;0,0
2026-06-12;Hauptplatz;20,1;13,3;27,0;26,3
2026-06-13;Hauptplatz;19,8;16,2;23,4;11,4
2026-06-14;Hauptplatz;20,6;16,9;24,3;0,0
2026-06-15;Hauptplatz;19,4;14,0;24,7;0,0
2026-06-16;Hauptplatz;17,5;13,9;21,1;8,5
2026-06-17;Hauptplatz;22,6;18,7;26,6;1,1
2026-06-18;Hauptplatz;23,0;16,9;29,1;18,7
2026-06-19;Hauptplatz;18,6;13,6;23,7;8,4
2026-06-20;Hauptplatz;20,1;15,1;25,0;23,2
2026-06-21;Hauptplatz;18,8;14,8;22,8;0,0
2026-06-22;Hauptplatz;21,4;17,5;25,3;8,2
2026-06-23;Hauptplatz;18,5;14,7;22,4;3,5
2026-06-24;Hauptplatz;22,6;18,5;26,7;0,0
2026-06-25;Hauptplatz;18,6;12,2;25,1;0,0
2026-06-26;Hauptplatz;23,2;19,3;27,1;0,5
2026-06-27;Hauptplatz;20,7;15,4;26,0;4,1
2026-06-28;Hauptplatz;18,4;13,3;23,5;0,4
2026-06-29;Hauptplatz;19,9;14,0;25,7;0,0
2026-06-30;Hauptplatz;23,9;18,3;29,5;12,5
2026-07-01;Hauptplatz;20,5;14,2;26,8;0,0
2026-07-02;Hauptplatz;22,3;18,4;26,2;0,0
2026-07-03;Hauptplatz;23,1;18,2;28,1;0,0
2026-07-04;Hauptplatz;23,4;19,9;27,0;0,0
2026-07-05;Hauptplatz;21,7;16,0;27,4;3,9
2026-07-06;Hauptplatz;24,4;19,7;29,2;0,2
2026-07-07;Hauptplatz;20,2;14,8;25,6;0,0
2026-07-08;Hauptplatz;21,9;16,4;27,3;0,0
2026-07-09;Hauptplatz;22,6;18,6;26,6;0,0
2026-07-10;Hauptplatz;19,6;14,0;25,2;3,8
2026-07-11;Hauptplatz;23,1;16,1;30,1;0,0
2026-07-12;Hauptplatz;19,9;13,5;26,2;0,0
2026-07-13;Hauptplatz;25,1;21,0;29,2;7,1
2026-07-14;Hauptplatz;21,1;15,4;26,9;0,0
2026-07-15;Hauptplatz;25,1;19,5;30,8;0,0
2026-07-16;Hauptplatz;21,0;17,1;24,8;0,0
2026-07-17;Hauptplatz;23,1;17,6;28,6;12,5
2026-07-18;Hauptplatz;20,5;16,1;24,9;0,0
2026-07-19;Hauptplatz;25,9;21,1;30,7;0,0
2026-07-20;Hauptplatz;22,5;16,7;28,4;0,0
2026-07-21;Hauptplatz;22,1;15,4;28,7;0,0
2026-07-22;Hauptplatz;24,1;18,3;30,0;4,1
2026-07-23;Hauptplatz;25,6;20,7;30,5;8,1
2026-07-24;Hauptplatz;25,0;20,1;29,8;4,6
2026-07-25;Hauptplatz;22,5;18,9;26,2;0,0
2026-07-26;Hauptplatz;21,8;18,2;25,3;0,0
2026-07-27;Hauptplatz;21,6;15,6;27,6;0,0
2026-07-28;Hauptplatz;23,5;18,0;29,0;0,0
2026-07-29;Hauptplatz;24,9;18,9;31,0;0,0
2026-07-30;Hauptplatz;24,1;17,8;30,5;0,0
2026-07-31;Hauptplatz;26,8;20,6;33,0;0,0
2026-05-01;Bahnhof;17,9;13,6;22,3;14,7
2026-05-02;Bahnhof;17,6;12,1;23,1;0,0
2026-05-03;Bahnhof;18,1;12,9;23,4;0,0
2026-05-04;Bahnhof;18,8;12,5;25,0;0,0
2026-05-05;Bahnhof;16,6;12,3;20,9;5,4
2026-05-06;Bahnhof;16,9;12,4;21,5;0,0
2026-05-07;Bahnhof;14,1;8,4;19,7;0,0
2026-05-08;Bahnhof;16,6;12,7;20,6;0,0
2026-05-09;Bahnhof;15,7;11,8;19,5;0,0
2026-05-10;Bahnhof;14,5;10,7;18,4;0,0
2026-05-11;Bahnhof;16,9;10,4;23,5;22,9
2026-05-12;Bahnhof;17,9;13,2;22,5;12,2
2026-05-13;Bahnhof;16,8;12,0;21,6;0,0
2026-05-14;Bahnhof;20,2;15,6;24,9;4,4
2026-05-15;Bahnhof;17,0;11,4;22,6;10,2
2026-05-16;Bahnhof;14,9;8,0;21,8;0,0
2026-05-17;Bahnhof;14,8;9,5;20,0;17,1
2026-05-18;Bahnhof;19,9;15,2;24,6;0,0
2026-05-19;Bahnhof;19,4;15,4;23,3;8,9
2026-05-20;Bahnhof;18,9;12,3;25,5;0,0
2026-05-21;Bahnhof;19,0;12,8;25,1;0,0
2026-05-22;Bahnhof;20,9;16,3;25,5;0,0
2026-05-23;Bahnhof;17,2;12,8;21,7;2,7
2026-05-24;Bahnhof;21,2;14,6;27,9;0,0
2026-05-25;Bahnhof;21,0;14,4;27,6;0,0
2026-05-26;Bahnhof;19,4;15,2;23,7;2,5
2026-05-27;Bahnhof;17,1;13,4;20,8;0,0
2026-05-28;Bahnhof;17,4;10,6;24,2;2,4
2026-05-29;Bahnhof;20,2;16,2;24,3;0,0
2026-05-30;Bahnhof;17,3;10,3;24,3;0,0
2026-05-31;Bahnhof;17,1;10,6;23,5;8,1
2026-06-01;Bahnhof;21,0;17,3;24,7;0,0
2026-06-02;Bahnhof;21,9;17,5;26,2;0,0
2026-06-03;Bahnhof;21,2;15,0;27,4;0,0
2026-06-04;Bahnhof;18,8;11,9;25,6;0,0
2026-06-05;Bahnhof;18,3;12,0;24,6;2,9
2026-06-06;Bahnhof;20,6;13,7;27,6;0,0
2026-06-07;Bahnhof;21,2;15,4;27,1;0,0
2026-06-08;Bahnhof;22,2;17,6;26,9;0,0
2026-06-09;Bahnhof;22,7;18,2;27,2;0,0
2026-06-10;Bahnhof;20,6;15,4;25,8;2,8
2026-06-11;Bahnhof;20,7;15,0;26,4;1,1
2026-06-12;Bahnhof;17,6;13,2;22,1;0,0
2026-06-13;Bahnhof;21,4;17,0;25,8;0,0
2026-06-14;Bahnhof;22,4;16,0;28,9;0,0
2026-06-15;Bahnhof;21,1;15,4;26,9;11,6
2026-06-16;Bahnhof;19,9;15,1;24,6;3,3
2026-06-17;Bahnhof;21,2;14,3;28,1;0,0
2026-06-18;Bahnhof;18,4;14,5;22,4;3,2
2026-06-19;Bahnhof;19,1;12,3;25,8;0,0
2026-06-20;Bahnhof;21,4;16,5;26,4;0,0
2026-06-21;Bahnhof;20,9;15,5;26,2;0,2
2026-06-22;Bahnhof;20,1;14,3;26,0;0,0
2026-06-23;Bahnhof;18,5;11,9;25,1;4,4
2026-06-24;Bahnhof;22,3;18,6;26,0;1,1
2026-06-25;Bahnhof;24,1;19,2;29,0;3,4
2026-06-26;Bahnhof;23,8;18,8;28,8;0,0
2026-06-27;Bahnhof;20,8;16,6;24,9;16,9
2026-06-28;Bahnhof;19,1;15,1;23,1;0,0
2026-06-29;Bahnhof;24,4;19,6;29,2;0,0
2026-06-30;Bahnhof;23,4;17,2;29,7;0,0
2026-07-01;Bahnhof;25,0;18,8;31,2;0,0
2026-07-02;Bahnhof;21,2;16,6;25,8;0,0
2026-07-03;Bahnhof;19,9;13,2;26,7;0,7
2026-07-04;Bahnhof;22,4;16,0;28,9;0,0
2026-07-05;Bahnhof;24,9;19,7;30,2;2,7
2026-07-06;Bahnhof;25,5;19,3;31,7;12,3
2026-07-07;Bahnhof;20,0;14,2;25,8;2,9
2026-07-08;Bahnhof;24,4;20,1;28,7;0,0
2026-07-09;Bahnhof;24,8;20,3;29,3;2,0
2026-07-10;Bahnhof;25,4;18,9;31,8;0,0
2026-07-11;Bahnhof;24,5;18,6;30,4;0,0
2026-07-12;Bahnhof;23,5;18,5;28,5;8,5
2026-07-13;Bahnhof;22,5;18,8;26,2;0,0
2026-07-14;Bahnhof;23,0;18,1;27,9;0,0
2026-07-15;Bahnhof;21,6;17,5;25,7;0,0
2026-07-16;Bahnhof;24,4;20,9;28,0;0,5
2026-07-17;Bahnhof;22,5;16,1;28,9;3,7
2026-07-18;Bahnhof;25,8;19,7;31,9;0,0
2026-07-19;Bahnhof;26,8;20,8;32,8;1,4
2026-07-20;Bahnhof;25,2;19,5;30,9;1,8
2026-07-21;Bahnhof;22,0;17,3;26,6;0,0
2026-07-22;Bahnhof;25,1;18,1;32,0;23,8
2026-07-23;Bahnhof;26,3;20,3;32,3;0,0
2026-07-24;Bahnhof;26,6;21,7;31,5;0,0
2026-07-25;Bahnhof;26,0;19,2;32,8;0,0
2026-07-26;Bahnhof;23,6;18,6;28,5;0,0
2026-07-27;Bahnhof;25,9;20,5;31,4;0,0
2026-07-28;Bahnhof;25,0;19,1;30,9;0,0
2026-07-29;Bahnhof;25,9;22,0;29,8;0,0
2026-07-30;Bahnhof;27,8;23,8;31,7;7,9
2026-07-31;Bahnhof;28,0;24,1;31,8;0,0
2026-05-01;Stadtpark;14,8;9,9;19,7;0,0
2026-05-02;Stadtpark;15,8;12,2;19,5;9,4
2026-05-03;Stadtpark;14,1;10,4;17,9;0,0
2026-05-04;Stadtpark;17,3;13,6;21,0;0,0
2026-05-05;Stadtpark;15,8;10,3;21,4;0,0
2026-05-06;Stadtpark;13,2;8,5;18,0;0,0
2026-05-07;Stadtpark;13,6;8,1;19,2;7,7
2026-05-08;Stadtpark;16,6;11,0;22,3;0,0
2026-05-09;Stadtpark;16,5;11,6;21,4;0,0
2026-05-10;Stadtpark;13,5;6,7;20,3;4,4
2026-05-11;Stadtpark;12,8;6,8;18,8;12,7
2026-05-12;Stadtpark;13,6;8,0;19,2;0,0
2026-05-13;Stadtpark;15,9;10,8;21,0;17,8
2026-05-14;Stadtpark;15,8;11,8;19,7;0,0
2026-05-15;Stadtpark;14,6;8,6;20,7;6,0
2026-05-16;Stadtpark;13,1;8,5;17,7;0,0
2026-05-17;Stadtpark;13,1;8,1;18,0;0,0
2026-05-18;Stadtpark;14,6;9,5;19,6;5,9
2026-05-19;Stadtpark;17,5;11,7;23,4;0,0
2026-05-20;Stadtpark;17,1;11,9;22,2;5,5
2026-05-21;Stadtpark;16,8;12,5;21,1;3,9
2026-05-22;Stadtpark;16,1;9,8;22,3;0,0
2026-05-23;Stadtpark;16,6;11,9;21,2;0,0
2026-05-24;Stadtpark;16,9;10,5;23,3;0,0
2026-05-25;Stadtpark;15,3;9,5;21,2;22,6
2026-05-26;Stadtpark;15,3;9,6;21,0;9,3
2026-05-27;Stadtpark;16,9;11,4;22,3;0,0
2026-05-28;Stadtpark;19,9;15,0;24,9;0,0
2026-05-29;Stadtpark;15,2;8,6;21,8;4,6
2026-05-30;Stadtpark;17,6;12,1;23,0;0,0
2026-05-31;Stadtpark;20,1;14,0;26,2;0,0
2026-06-01;Stadtpark;14,5;10,9;18,1;0,0
2026-06-02;Stadtpark;16,6;11,9;21,4;5,1
2026-06-03;Stadtpark;18,3;14,0;22,6;0,0
2026-06-04;Stadtpark;19,4;13,1;25,8;0,0
2026-06-05;Stadtpark;15,1;9,0;21,2;0,0
2026-06-06;Stadtpark;16,2;10,6;21,9;0,0
2026-06-07;Stadtpark;19,7;13,0;26,4;4,0
2026-06-08;Stadtpark;17,0;11,3;22,7;0,0
2026-06-09;Stadtpark;20,5;16,4;24,7;7,3
2026-06-10;Stadtpark;19,4;14,2;24,7;4,1
2026-06-11;Stadtpark;15,2;11,7;18,8;0,0
2026-06-12;Stadtpark;15,5;10,2;20,8;5,4
2026-06-13;Stadtpark;17,0;10,8;23,2;2,5
2026-06-14;Stadtpark;15,8;10,1;21,4;10,4
2026-06-15;Stadtpark;20,9;14,5;27,2;4,9
2026-06-16;Stadtpark;20,8;13,8;27,7;0,0
2026-06-17;Stadtpark;16,9;12,7;21,0;2,3
2026-06-18;Stadtpark;16,8;11,2;22,3;20,0
2026-06-19;Stadtpark;18,2;12,0;24,5;9,9
2026-06-20;Stadtpark;17,1;10,4;23,7;0,0
2026-06-21;Stadtpark;19,0;13,4;24,6;0,0
2026-06-22;Stadtpark;17,8;12,1;23,5;0,3
2026-06-23;Stadtpark;19,4;15,1;23,6;0,0
2026-06-24;Stadtpark;20,1;13,9;26,4;2,4
2026-06-25;Stadtpark;21,0;17,1;24,9;0,0
2026-06-26;Stadtpark;19,4;15,7;23,2;3,9
2026-06-27;Stadtpark;18,4;13,5;23,3;0,0
2026-06-28;Stadtpark;22,0;16,1;27,8;0,4
2026-06-29;Stadtpark;22,1;18,4;25,9;0,0
2026-06-30;Stadtpark;21,9;15,3;28,4;6,9
2026-07-01;Stadtpark;17,5;11,3;23,7;0,0
2026-07-02;Stadtpark;18,8;14,7;22,8;13,5
2026-07-03;Stadtpark;19,2;13,8;24,7;0,0
2026-07-04;Stadtpark;22,0;15,8;28,2;0,0
2026-07-05;Stadtpark;23,4;17,5;29,4;0,0
2026-07-06;Stadtpark;18,7;12,3;25,1;0,0
2026-07-07;Stadtpark;17,9;13,9;22,0;0,0
2026-07-08;Stadtpark;22,1;17,0;27,1;0,0
2026-07-09;Stadtpark;23,4;19,8;26,9;0,0
2026-07-10;Stadtpark;23,1;16,9;29,3;0,0
2026-07-11;Stadtpark;23,6;17,8;29,5;2,0
2026-07-12;Stadtpark;21,9;15,5;28,2;15,7
2026-07-13;Stadtpark;24,3;20,1;28,5;7,7
2026-07-14;Stadtpark;22,0;16,6;27,4;5,5
2026-07-15;Stadtpark;23,1;19,1;27,1;0,0
2026-07-16;Stadtpark;23,5;18,9;28,1;0,0
2026-07-17;Stadtpark;21,0;15,7;26,4;6,4
2026-07-18;Stadtpark;24,8;18,4;31,2;0,0
2026-07-19;Stadtpark;19,4;14,7;24,2;0,0
2026-07-20;Stadtpark;23,5;19,1;27,9;9,5
2026-07-21;Stadtpark;21,9;17,4;26,3;1,1
2026-07-22;Stadtpark;20,8;14,2;27,3;0,0
2026-07-23;Stadtpark;22,2;17,9;26,6;6,1
2026-07-24;Stadtpark;20,0;15,8;24,1;11,3
2026-07-25;Stadtpark;24,8;19,9;29,7;0,0
2026-07-26;Stadtpark;23,2;18,8;27,6;3,9
2026-07-27;Stadtpark;24,5;19,1;29,8;0,0
2026-07-28;Stadtpark;23,9;18,7;29,0;0,0
2026-07-29;Stadtpark;22,6;17,3;27,8;8,3
2026-07-30;Stadtpark;22,6;18,8;26,4;4,7
2026-07-31;Stadtpark;21,2;15,0;27,5;0,2
2026-05-01;Wochenmarkt;17,5;12,2;22,9;0,0
2026-05-02;Wochenmarkt;13,0;8,1;17,9;13,2
2026-05-03;Wochenmarkt;16,2;11,8;20,7;0,0
2026-05-04;Wochenmarkt;15,4;9,1;21,8;0,9
2026-05-05;Wochenmarkt;14,1;9,4;18,7;0,0
2026-05-06;Wochenmarkt;13,9;7,1;20,8;0,0
2026-05-07;Wochenmarkt;12,6;9,1;16,2;0,0
2026-05-08;Wochenmarkt;17,7;13,8;21,6;5,7
2026-05-09;Wochenmarkt;17,3;10,9;23,7;0,0
2026-05-10;Wochenmarkt;18,3;12,0;24,6;0,0
2026-05-11;Wochenmarkt;16,9;11,6;22,3;15,1
2026-05-12;Wochenmarkt;14,1;7,6;20,5;0,0
2026-05-13;Wochenmarkt;13,9;8,0;19,9;0,0
2026-05-14;Wochenmarkt;19,4;15,4;23,3;3,9
2026-05-15;Wochenmarkt;14,8;8,8;20,7;0,0
2026-05-16;Wochenmarkt;19,2;12,9;25,6;1,2
2026-05-17;Wochenmarkt;14,1;7,3;20,9;1,6
2026-05-18;Wochenmarkt;17,1;11,4;22,9;0,0
2026-05-19;Wochenmarkt;19,6;13,6;25,6;0,0
2026-05-20;Wochenmarkt;20,0;15,6;24,4;0,0
2026-05-21;Wochenmarkt;14,9;9,1;20,8;0,0
2026-05-22;Wochenmarkt;15,6;9,0;22,1;5,6
2026-05-23;Wochenmarkt;20,2;16,6;23,8;0,0
2026-05-24;Wochenmarkt;20,0;13,9;26,1;16,9
2026-05-25;Wochenmarkt;14,5;10,9;18,1;23,9
2026-05-26;Wochenmarkt;18,6;12,2;25,1;3,3
2026-05-27;Wochenmarkt;18,3;12,9;23,7;0,0
2026-05-28;Wochenmarkt;18,4;12,8;23,9;18,6
2026-05-29;Wochenmarkt;20,8;15,3;26,2;0,0
2026-05-30;Wochenmarkt;16,7;10,5;22,9;13,2
2026-05-31;Wochenmarkt;18,2;11,5;25,0;15,1
2026-06-01;Wochenmarkt;17,5;10,7;24,3;0,0
2026-06-02;Wochenmarkt;18,6;13,6;23,5;0,8
2026-06-03;Wochenmarkt;21,1;17,6;24,6;2,8
2026-06-04;Wochenmarkt;15,6;11,8;19,4;2,2
2026-06-05;Wochenmarkt;21,5;17,6;25,3;3,0
2026-06-06;Wochenmarkt;21,6;17,6;25,6;1,5
2026-06-07;Wochenmarkt;18,9;15,1;22,8;1,8
2026-06-08;Wochenmarkt;17,8;11,5;24,0;15,6
2026-06-09;Wochenmarkt;16,9;12,8;20,9;1,9
2026-06-10;Wochenmarkt;22,0;18,1;25,9;0,0
2026-06-11;Wochenmarkt;22,2;17,9;26,5;0,0
2026-06-12;Wochenmarkt;21,2;15,3;27,2;0,0
2026-06-13;Wochenmarkt;16,7;10,8;22,6;2,0
2026-06-14;Wochenmarkt;19,1;12,5;25,6;2,8
2026-06-15;Wochenmarkt;21,8;16,0;27,6;10,3
2026-06-16;Wochenmarkt;22,2;18,0;26,5;0,0
2026-06-17;Wochenmarkt;17,8;12,4;23,1;0,0
2026-06-18;Wochenmarkt;19,7;15,1;24,3;0,0
2026-06-19;Wochenmarkt;19,1;12,3;26,0;1,9
2026-06-20;Wochenmarkt;17,9;12,5;23,4;1,5
2026-06-21;Wochenmarkt;20,9;16,8;24,9;0,1
2026-06-22;Wochenmarkt;18,9;14,9;22,9;0,0
2026-06-23;Wochenmarkt;23,1;18,4;27,9;0,0
2026-06-24;Wochenmarkt;22,9;16,2;29,5;0,0
2026-06-25;Wochenmarkt;20,8;16,3;25,2;0,0
2026-06-26;Wochenmarkt;19,1;15,0;23,2;0,0
2026-06-27;Wochenmarkt;22,1;16,8;27,3;0,0
2026-06-28;Wochenmarkt;18,5;14,5;22,5;7,5
2026-06-29;Wochenmarkt;21,9;16,4;27,3;0,0
2026-06-30;Wochenmarkt;22,2;15,6;28,9;16,1
2026-07-01;Wochenmarkt;24,0;19,2;28,8;17,9
2026-07-02;Wochenmarkt;22,4;17,1;27,6;0,0
2026-07-03;Wochenmarkt;23,5;18,4;28,6;0,0
2026-07-04;Wochenmarkt;20,6;16,5;24,8;0,0
2026-07-05;Wochenmarkt;19,9;14,7;25,1;0,0
2026-07-06;Wochenmarkt;23,3;17,7;28,9;5,1
2026-07-07;Wochenmarkt;22,3;17,1;27,5;0,0
2026-07-08;Wochenmarkt;19,9;15,9;23,8;1,1
2026-07-09;Wochenmarkt;23,8;18,0;29,6;3,1
2026-07-10;Wochenmarkt;24,4;17,9;30,8;26,1
2026-07-11;Wochenmarkt;19,9;13,5;26,3;0,0
2026-07-12;Wochenmarkt;24,1;17,5;30,7;26,4
2026-07-13;Wochenmarkt;22,6;18,8;26,4;0,0
2026-07-14;Wochenmarkt;22,4;17,9;27,0;6,0
2026-07-15;Wochenmarkt;24,9;18,4;31,4;0,0
2026-07-16;Wochenmarkt;24,1;19,3;28,8;0,0
2026-07-17;Wochenmarkt;21,5;18,0;25,0;0,0
2026-07-18;Wochenmarkt;21,1;16,5;25,7;0,0
2026-07-19;Wochenmarkt;20,9;14,9;26,8;0,0
2026-07-20;Wochenmarkt;25,5;20,1;30,8;10,6
2026-07-21;Wochenmarkt;23,8;17,8;29,7;0,0
2026-07-22;Wochenmarkt;24,0;19,8;28,2;0,0
2026-07-23;Wochenmarkt;21,1;17,3;24,8;0,0
2026-07-24;Wochenmarkt;22,5;16,2;28,8;0,0
2026-07-25;Wochenmarkt;22,8;16,5;29,1;0,6
2026-07-26;Wochenmarkt;20,9;15,3;26,4;4,4
2026-07-27;Wochenmarkt;24,0;17,2;30,9;5,3
2026-07-28;Wochenmarkt;24,6;19,5;29,8;0,0
2026-07-29;Wochenmarkt;22,3;16,6;28,0;16,9
2026-07-30;Wochenmarkt;24,4;18,5;30,2;0,0
2026-07-31;Wochenmarkt;23,0;16,4;29,6;0,0
